Age,Country of Birth,Gender,Employment Status,Average Drinks per Day
78,China,Female,Part-Time,0.3
38,India,Non-Binary,Part-Time,0.4
31,United States,Female,Unemployed,4.3
19,China,Male,Self-Employed,0.6
35,Mexico,Non-Binary,Self-Employed,1.5
56,China,Non-Binary,Full-Time,0.4
30,Germany,Non-Binary,Full-Time,5.6
25,United States,Non-Binary,Self-Employed,4.3
41,China,Female,Self-Employed,0.0
52,India,Non-Binary,Full-Time,1.5
37,Canada,Male,Full-Time,1.7
56,Germany,Male,Self-Employed,0.2
75,China,Female,Part-Time,1.3
26,Australia,Male,Self-Employed,0.2
38,United States,Non-Binary,Self-Employed,5.1
58,China,Female,Unemployed,2.1
28,Australia,Male,Part-Time,0.4
32,Germany,Male,Part-Time,1.7
51,Germany,Male,Self-Employed,1.1
51,Australia,Non-Binary,Full-Time,0.7
28,Mexico,Female,Full-Time,1.4
22,Canada,Male,Part-Time,0.4
76,China,Male,Full-Time,3.2
70,Mexico,Non-Binary,Unemployed,1.8
36,Australia,Male,Part-Time,3.6
27,India,Female,Self-Employed,1.2
62,Mexico,Non-Binary,Self-Employed,1.7
29,Germany,Non-Binary,Unemployed,4.4
77,China,Male,Part-Time,0.2
18,Germany,Non-Binary,Part-Time,3.6
56,United States,Non-Binary,Part-Time,1.5
22,Germany,Female,Unemployed,0.3
47,United States,Non-Binary,Full-Time,1.3
70,Germany,Female,Part-Time,1.6
43,United States,Non-Binary,Self-Employed,0.1
54,United States,Male,Unemployed,16.4
22,China,Female,Self-Employed,2.4
19,Mexico,Female,Full-Time,0.7
30,Australia,Male,Full-Time,0.7
29,Mexico,Male,Full-Time,1.9
74,India,Non-Binary,Part-Time,2.4
18,Mexico,Male,Self-Employed,2.4
28,Canada,Non-Binary,Self-Employed,0.7
52,Mexico,Female,Part-Time,1.3
20,United States,Female,Unemployed,2.0
32,United States,Male,Self-Employed,2.0
39,Australia,Male,Part-Time,6.4
65,India,Male,Full-Time,1.7
73,United States,Female,Part-Time,0.3
67,China,Female,Full-Time,0.4
68,India,Non-Binary,Full-Time,0.7
40,Germany,Non-Binary,Unemployed,0.0
25,Germany,Female,Part-Time,0.2
20,India,Non-Binary,Self-Employed,0.2
60,China,Female,Full-Time,0.9
53,India,Female,Unemployed,2.2
46,United States,Non-Binary,Part-Time,1.5
41,United States,Male,Unemployed,7.3
76,Germany,Male,Part-Time,2.8
36,Germany,Non-Binary,Self-Employed,1.2
27,United States,Male,Part-Time,2.7
36,China,Non-Binary,Full-Time,3.9
41,Australia,Male,Part-Time,0.8
58,Canada,Non-Binary,Self-Employed,0.7
24,Mexico,Female,Self-Employed,0.9
55,United States,Female,Unemployed,1.2
35,Canada,Male,Self-Employed,1.0
25,India,Female,Part-Time,2.4
40,Australia,Male,Part-Time,0.3
25,Mexico,Female,Full-Time,1.8
29,India,Female,Part-Time,2.2
25,Canada,Male,Part-Time,1.6
20,Australia,Female,Unemployed,24.6
26,Canada,Male,Part-Time,5.3
52,Mexico,Female,Self-Employed,0.1
64,Canada,Male,Part-Time,0.8
51,Canada,Male,Part-Time,5.9
67,Mexico,Male,Part-Time,3.9
32,China,Female,Full-Time,5.2
67,Germany,Male,Self-Employed,3.4
49,India,Female,Unemployed,1.3
67,Canada,Male,Part-Time,1.7
61,Canada,Non-Binary,Full-Time,1.0
50,China,Non-Binary,Full-Time,0.6
73,China,Male,Part-Time,6.1
57,Mexico,Non-Binary,Unemployed,1.5
58,China,Male,Self-Employed,0.1
75,China,Non-Binary,Unemployed,2.0
72,Germany,Non-Binary,Full-Time,1.6
67,Canada,Male,Full-Time,2.0
28,China,Non-Binary,Self-Employed,1.9
56,Australia,Female,Unemployed,2.8
34,China,Female,Unemployed,0.7
52,Australia,Female,Self-Employed,0.4
35,Mexico,Non-Binary,Self-Employed,2.8
64,India,Female,Unemployed,0.6
39,China,Female,Part-Time,2.1
73,United States,Female,Part-Time,1.5
37,Australia,Non-Binary,Self-Employed,0.1
43,Canada,Non-Binary,Unemployed,0.6
72,China,Male,Part-Time,3.0
76,China,Male,Unemployed,8.2
73,United States,Female,Self-Employed,0.1
25,United States,Male,Full-Time,5.1
23,Canada,Non-Binary,Self-Employed,0.6
63,Mexico,Male,Unemployed,3.1
74,India,Male,Part-Time,2.7
37,Canada,Female,Unemployed,5.5
20,China,Male,Unemployed,6.2
77,United States,Non-Binary,Part-Time,0.5
63,Australia,Non-Binary,Part-Time,0.7
19,Mexico,Male,Part-Time,0.5
46,China,Male,Unemployed,5.9
76,Mexico,Female,Part-Time,0.5
48,China,Male,Unemployed,2.4
36,Mexico,Non-Binary,Part-Time,0.1
58,Mexico,Male,Unemployed,0.1
40,China,Female,Self-Employed,0.9
